currency,valid_from,rate
CAD,2025-04-03,0.668601
USD,2025-04-04,0.928491
GBP,2025-04-04,1.160482
JPY,2025-04-04,0.006173
CHF,2025-04-04,1.011606
SEK,2025-04-04,0.090193
NOK,2025-04-04,0.085715
PLN,2025-04-04,0.237213
CZK,2025-04-04,0.040800
AUD,2025-04-04,0.594059
CAD,2025-04-04,0.668096
USD,2025-04-05,0.931662
GBP,2025-04-05,1.157894
JPY,2025-04-05,0.006171
CHF,2025-04-05,1.013063
SEK,2025-04-05,0.090163
NOK,2025-04-05,0.085633
PLN,2025-04-05,0.237796
CZK,2025-04-05,0.040713
AUD,2025-04-05,0.593761
CAD,2025-04-05,0.670295
USD,2025-04-06,0.929658
GBP,2025-04-06,1.160589
JPY,2025-04-06,0.006149
CHF,2025-04-06,1.013737
SEK,2025-04-06,0.090040
NOK,2025-04-06,0.085862
PLN,2025-04-06,0.237839
CZK,2025-04-06,0.040623
AUD,2025-04-06,0.595670
CAD,2025-04-06,0.668229
USD,2025-04-07,0.932541
GBP,2025-04-07,1.159695
JPY,2025-04-07,0.006143
CHF,2025-04-07,1.015991
SEK,2025-04-07,0.090326
NOK,2025-04-07,0.085857
PLN,2025-04-07,0.238318
CZK,2025-04-07,0.040551
AUD,2025-04-07,0.596553
CAD,2025-04-07,0.667466
USD,2025-04-08,0.934549
GBP,2025-04-08,1.163079
JPY,2025-04-08,0.006140
CHF,2025-04-08,1.016144
SEK,2025-04-08,0.090426
NOK,2025-04-08,0.086022
PLN,2025-04-08,0.238667
CZK,2025-04-08,0.040619
AUD,2025-04-08,0.594841
CAD,2025-04-08,0.666686
USD,2025-04-09,0.931808
GBP,2025-04-09,1.160042
JPY,2025-04-09,0.006143
CHF,2025-04-09,1.014484
SEK,2025-04-09,0.090461
NOK,2025-04-09,0.085769
PLN,2025-04-09,0.238365
CZK,2025-04-09,0.040662
AUD,2025-04-09,0.595935
CAD,2025-04-09,0.668840
USD,2025-04-10,0.931678
GBP,2025-04-10,1.156491
JPY,2025-04-10,0.006157
CHF,2025-04-10,1.014921
SEK,2025-04-10,0.090438
NOK,2025-04-10,0.085840
PLN,2025-04-10,0.237893
CZK,2025-04-10,0.040803
AUD,2025-04-10,0.596306
CAD,2025-04-10,0.669727
USD,2025-04-11,0.931533
GBP,2025-04-11,1.154769
JPY,2025-04-11,0.006149
CHF,2025-04-11,1.017975
SEK,2025-04-11,0.090199
NOK,2025-04-11,0.086056
PLN,2025-04-11,0.238507
CZK,2025-04-11,0.040833
AUD,2025-04-11,0.596346
CAD,2025-04-11,0.668010
USD,2025-04-12,0.933192
GBP,2025-04-12,1.156856
JPY,2025-04-12,0.006139
CHF,2025-04-12,1.018240
SEK,2025-04-12,0.090026
NOK,2025-04-12,0.086158
PLN,2025-04-12,0.238642
CZK,2025-04-12,0.040970
AUD,2025-04-12,0.595240
CAD,2025-04-12,0.669566
USD,2025-04-13,0.934886
GBP,2025-04-13,1.158067
JPY,2025-04-13,0.006154
CHF,2025-04-13,1.015066
SEK,2025-04-13,0.090296
NOK,2025-04-13,0.086074
PLN,2025-04-13,0.238494
CZK,2025-04-13,0.041094
AUD,2025-04-13,0.595297
CAD,2025-04-13,0.670707
USD,2025-04-14,0.937670
GBP,2025-04-14,1.154907
JPY,2025-04-14,0.006166
CHF,2025-04-14,1.014228
SEK,2025-04-14,0.090181
NOK,2025-04-14,0.086299
PLN,2025-04-14,0.238010
CZK,2025-04-14,0.041236
AUD,2025-04-14,0.593672
CAD,2025-04-14,0.671226
USD,2025-04-15,0.939400
GBP,2025-04-15,1.153422
JPY,2025-04-15,0.006187
CHF,2025-04-15,1.016099
SEK,2025-04-15,0.090094
NOK,2025-04-15,0.086472
PLN,2025-04-15,0.237412
CZK,2025-04-15,0.041229
AUD,2025-04-15,0.593944
CAD,2025-04-15,0.672414
USD,2025-04-16,0.939759
GBP,2025-04-16,1.149471
JPY,2025-04-16,0.006202
CHF,2025-04-16,1.014471
SEK,2025-04-16,0.090123
NOK,2025-04-16,0.086705
PLN,2025-04-16,0.237818
CZK,2025-04-16,0.041141
AUD,2025-04-16,0.595476
CAD,2025-04-16,0.672377
USD,2025-04-17,0.938540
GBP,2025-04-17,1.152767
JPY,2025-04-17,0.006200
CHF,2025-04-17,1.015887
SEK,2025-04-17,0.089816
NOK,2025-04-17,0.086505
PLN,2025-04-17,0.238528
CZK,2025-04-17,0.041233
AUD,2025-04-17,0.595238
CAD,2025-04-17,0.674447
USD,2025-04-18,0.940642
GBP,2025-04-18,1.149477
JPY,2025-04-18,0.006199
CHF,2025-04-18,1.015593
SEK,2025-04-18,0.090053
NOK,2025-04-18,0.086225
PLN,2025-04-18,0.237731
CZK,2025-04-18,0.041245
AUD,2025-04-18,0.593366
CAD,2025-04-18,0.675756
USD,2025-04-19,0.942655
GBP,2025-04-19,1.147359
JPY,2025-04-19,0.006216
CHF,2025-04-19,1.012656
SEK,2025-04-19,0.089761
NOK,2025-04-19,0.086409
PLN,2025-04-19,0.238418
CZK,2025-04-19,0.041207
AUD,2025-04-19,0.594634
CAD,2025-04-19,0.673569
USD,2025-04-20,0.939863
GBP,2025-04-20,1.149353
JPY,2025-04-20,0.006233
CHF,2025-04-20,1.014370
SEK,2025-04-20,0.089925
NOK,2025-04-20,0.086559
PLN,2025-04-20,0.238879
CZK,2025-04-20,0.041218
AUD,2025-04-20,0.592827
CAD,2025-04-20,0.675484
USD,2025-04-21,0.942330
GBP,2025-04-21,1.146008
JPY,2025-04-21,0.006236
CHF,2025-04-21,1.010875
SEK,2025-04-21,0.089640
NOK,2025-04-21,0.086682
PLN,2025-04-21,0.238142
CZK,2025-04-21,0.041304
AUD,2025-04-21,0.592576
CAD,2025-04-21,0.676490
USD,2025-04-22,0.942613
GBP,2025-04-22,1.147540
JPY,2025-04-22,0.006221
CHF,2025-04-22,1.010895
SEK,2025-04-22,0.089379
NOK,2025-04-22,0.086513
PLN,2025-04-22,0.238556
CZK,2025-04-22,0.041208
AUD,2025-04-22,0.591351
CAD,2025-04-22,0.678819
USD,2025-04-23,0.941006
GBP,2025-04-23,1.144339
JPY,2025-04-23,0.006211
CHF,2025-04-23,1.012067
SEK,2025-04-23,0.089220
NOK,2025-04-23,0.086786
PLN,2025-04-23,0.237846
CZK,2025-04-23,0.041088
AUD,2025-04-23,0.590115
CAD,2025-04-23,0.679809
USD,2025-04-24,0.941936
GBP,2025-04-24,1.147991
JPY,2025-04-24,0.006222
CHF,2025-04-24,1.015399
SEK,2025-04-24,0.089249
NOK,2025-04-24,0.086882
PLN,2025-04-24,0.238188
CZK,2025-04-24,0.041081
AUD,2025-04-24,0.590487
CAD,2025-04-24,0.679520
USD,2025-04-25,0.939222
GBP,2025-04-25,1.144533
JPY,2025-04-25,0.006210
CHF,2025-04-25,1.015688
SEK,2025-04-25,0.089129
NOK,2025-04-25,0.086857
PLN,2025-04-25,0.239013
CZK,2025-04-25,0.041167
AUD,2025-04-25,0.591148
CAD,2025-04-25,0.678430
USD,2025-04-26,0.941088
GBP,2025-04-26,1.143052
JPY,2025-04-26,0.006194
CHF,2025-04-26,1.018698
SEK,2025-04-26,0.089385
NOK,2025-04-26,0.087108
PLN,2025-04-26,0.239619
CZK,2025-04-26,0.041212
AUD,2025-04-26,0.591927
CAD,2025-04-26,0.679532
USD,2025-04-27,0.943547
GBP,2025-04-27,1.139560
JPY,2025-04-27,0.006195
CHF,2025-04-27,1.018948
SEK,2025-04-27,0.089501
NOK,2025-04-27,0.086952
PLN,2025-04-27,0.239908
CZK,2025-04-27,0.041318
AUD,2025-04-27,0.593390
CAD,2025-04-27,0.681820
USD,2025-04-28,0.944958
GBP,2025-04-28,1.142131
JPY,2025-04-28,0.006194
CHF,2025-04-28,1.022114
SEK,2025-04-28,0.089777
NOK,2025-04-28,0.086933
PLN,2025-04-28,0.240573
CZK,2025-04-28,0.041254
AUD,2025-04-28,0.593319
CAD,2025-04-28,0.684142
USD,2025-04-29,0.947530
GBP,2025-04-29,1.144104
JPY,2025-04-29,0.006186
CHF,2025-04-29,1.022038
SEK,2025-04-29,0.089718
NOK,2025-04-29,0.086935
PLN,2025-04-29,0.239829
CZK,2025-04-29,0.041247
AUD,2025-04-29,0.592754
CAD,2025-04-29,0.684598
USD,2025-04-30,0.946537
GBP,2025-04-30,1.144691
JPY,2025-04-30,0.006189
CHF,2025-04-30,1.020992
SEK,2025-04-30,0.089874
NOK,2025-04-30,0.086649
PLN,2025-04-30,0.239477
CZK,2025-04-30,0.041245
AUD,2025-04-30,0.590757
CAD,2025-04-30,0.683504
USD,2025-05-01,0.943873
GBP,2025-05-01,1.145368
JPY,2025-05-01,0.006183
CHF,2025-05-01,1.020020
SEK,2025-05-01,0.090045
NOK,2025-05-01,0.086739
PLN,2025-05-01,0.239384
CZK,2025-05-01,0.041277
AUD,2025-05-01,0.589925
CAD,2025-05-01,0.682016
USD,2025-05-02,0.942115
GBP,2025-05-02,1.145206
JPY,2025-05-02,0.006173
CHF,2025-05-02,1.017868
SEK,2025-05-02,0.089788
NOK,2025-05-02,0.086845
PLN,2025-05-02,0.238782
CZK,2025-05-02,0.041325
AUD,2025-05-02,0.590957
CAD,2025-05-02,0.680501
USD,2025-05-03,0.944114
GBP,2025-05-03,1.144284
JPY,2025-05-03,0.006189
CHF,2025-05-03,1.017714
SEK,2025-05-03,0.089840
NOK,2025-05-03,0.086814
PLN,2025-05-03,0.239437
CZK,2025-05-03,0.041226
AUD,2025-05-03,0.589219
CAD,2025-05-03,0.682619
USD,2025-05-04,0.945436
GBP,2025-05-04,1.145206
JPY,2025-05-04,0.006168
CHF,2025-05-04,1.015907
SEK,2025-05-04,0.089623
NOK,2025-05-04,0.086997
PLN,2025-05-04,0.240249
CZK,2025-05-04,0.041226
AUD,2025-05-04,0.589383
CAD,2025-05-04,0.683551
USD,2025-05-05,0.943810
GBP,2025-05-05,1.144161
JPY,2025-05-05,0.006154
CHF,2025-05-05,1.015962
SEK,2025-05-05,0.089721
NOK,2025-05-05,0.086987
PLN,2025-05-05,0.240805
CZK,2025-05-05,0.041114
AUD,2025-05-05,0.587811
CAD,2025-05-05,0.683522
USD,2025-05-06,0.945789
GBP,2025-05-06,1.141378
JPY,2025-05-06,0.006169
CHF,2025-05-06,1.018765
SEK,2025-05-06,0.089425
NOK,2025-05-06,0.087291
PLN,2025-05-06,0.240328
CZK,2025-05-06,0.041079
AUD,2025-05-06,0.588689
CAD,2025-05-06,0.684649
USD,2025-05-07,0.946764
GBP,2025-05-07,1.140711
JPY,2025-05-07,0.006163
CHF,2025-05-07,1.019731
SEK,2025-05-07,0.089561
NOK,2025-05-07,0.087338
PLN,2025-05-07,0.240467
CZK,2025-05-07,0.041193
AUD,2025-05-07,0.587836
CAD,2025-05-07,0.682341
USD,2025-05-08,0.947886
GBP,2025-05-08,1.142237
JPY,2025-05-08,0.006173
CHF,2025-05-08,1.021972
SEK,2025-05-08,0.089868
NOK,2025-05-08,0.087449
PLN,2025-05-08,0.240589
CZK,2025-05-08,0.041249
AUD,2025-05-08,0.587837
CAD,2025-05-08,0.680912
USD,2025-05-09,0.947902
GBP,2025-05-09,1.138274
JPY,2025-05-09,0.006191
CHF,2025-05-09,1.022597
SEK,2025-05-09,0.090010
NOK,2025-05-09,0.087666
PLN,2025-05-09,0.240044
CZK,2025-05-09,0.041108
AUD,2025-05-09,0.585839
CAD,2025-05-09,0.682055
USD,2025-05-10,0.946833
GBP,2025-05-10,1.140068
JPY,2025-05-10,0.006212
CHF,2025-05-10,1.019762
SEK,2025-05-10,0.089812
NOK,2025-05-10,0.087585
PLN,2025-05-10,0.239305
CZK,2025-05-10,0.041252
AUD,2025-05-10,0.585266
CAD,2025-05-10,0.683674
USD,2025-05-11,0.945814
GBP,2025-05-11,1.142453
JPY,2025-05-11,0.006219
CHF,2025-05-11,1.019194
SEK,2025-05-11,0.089587
NOK,2025-05-11,0.087377
PLN,2025-05-11,0.238596
CZK,2025-05-11,0.041198
AUD,2025-05-11,0.585215
CAD,2025-05-11,0.682528
USD,2025-05-12,0.947026
GBP,2025-05-12,1.140075
JPY,2025-05-12,0.006221
CHF,2025-05-12,1.021645
SEK,2025-05-12,0.089828
NOK,2025-05-12,0.087611
PLN,2025-05-12,0.238096
CZK,2025-05-12,0.041135
AUD,2025-05-12,0.583367
CAD,2025-05-12,0.683378
USD,2025-05-13,0.946118
GBP,2025-05-13,1.143395
JPY,2025-05-13,0.006202
CHF,2025-05-13,1.018242
SEK,2025-05-13,0.089864
NOK,2025-05-13,0.087754
PLN,2025-05-13,0.238924
CZK,2025-05-13,0.041168
AUD,2025-05-13,0.583471
CAD,2025-05-13,0.685097
USD,2025-05-14,0.946255
GBP,2025-05-14,1.144451
JPY,2025-05-14,0.006194
CHF,2025-05-14,1.014900
SEK,2025-05-14,0.090090
NOK,2025-05-14,0.087691
PLN,2025-05-14,0.239255
CZK,2025-05-14,0.041241
AUD,2025-05-14,0.585007
CAD,2025-05-14,0.686063
USD,2025-05-15,0.943985
GBP,2025-05-15,1.141065
JPY,2025-05-15,0.006187
CHF,2025-05-15,1.011901
SEK,2025-05-15,0.089897
NOK,2025-05-15,0.087991
PLN,2025-05-15,0.239776
CZK,2025-05-15,0.041379
AUD,2025-05-15,0.584317
CAD,2025-05-15,0.686411
USD,2025-05-16,0.941232
GBP,2025-05-16,1.142393
JPY,2025-05-16,0.006184
CHF,2025-05-16,1.009054
SEK,2025-05-16,0.089775
NOK,2025-05-16,0.088054
PLN,2025-05-16,0.240472
CZK,2025-05-16,0.041388
AUD,2025-05-16,0.583662
CAD,2025-05-16,0.684623
USD,2025-05-17,0.943763
GBP,2025-05-17,1.146104
JPY,2025-05-17,0.006196
CHF,2025-05-17,1.007963
SEK,2025-05-17,0.089889
NOK,2025-05-17,0.087856
PLN,2025-05-17,0.240974
CZK,2025-05-17,0.041460
AUD,2025-05-17,0.585457
CAD,2025-05-17,0.686022
USD,2025-05-18,0.941752
GBP,2025-05-18,1.148753
JPY,2025-05-18,0.006193
CHF,2025-05-18,1.009621
SEK,2025-05-18,0.089787
NOK,2025-05-18,0.087993
PLN,2025-05-18,0.240195
CZK,2025-05-18,0.041441
AUD,2025-05-18,0.585613
CAD,2025-05-18,0.685362
USD,2025-05-19,0.944065
GBP,2025-05-19,1.148540
JPY,2025-05-19,0.006206
CHF,2025-05-19,1.011767
SEK,2025-05-19,0.089486
NOK,2025-05-19,0.087964
PLN,2025-05-19,0.239389
CZK,2025-05-19,0.041408
AUD,2025-05-19,0.584330
CAD,2025-05-19,0.684346
USD,2025-05-20,0.940896
GBP,2025-05-20,1.150157
JPY,2025-05-20,0.006201
CHF,2025-05-20,1.013563
SEK,2025-05-20,0.089757
NOK,2025-05-20,0.087732
PLN,2025-05-20,0.239792
CZK,2025-05-20,0.041379
AUD,2025-05-20,0.582690
CAD,2025-05-20,0.685119
USD,2025-05-21,0.941372
GBP,2025-05-21,1.151202
JPY,2025-05-21,0.006221
CHF,2025-05-21,1.011554
SEK,2025-05-21,0.090067
NOK,2025-05-21,0.087806
PLN,2025-05-21,0.240369
CZK,2025-05-21,0.041442
AUD,2025-05-21,0.582153
CAD,2025-05-21,0.683090
USD,2025-05-22,0.940476
GBP,2025-05-22,1.153223
JPY,2025-05-22,0.006211
CHF,2025-05-22,1.010625
SEK,2025-05-22,0.090045
NOK,2025-05-22,0.087657
PLN,2025-05-22,0.240644
CZK,2025-05-22,0.041583
AUD,2025-05-22,0.581706
CAD,2025-05-22,0.680869
USD,2025-05-23,0.939935
GBP,2025-05-23,1.154858
JPY,2025-05-23,0.006209
CHF,2025-05-23,1.010696
SEK,2025-05-23,0.090226
NOK,2025-05-23,0.087444
PLN,2025-05-23,0.240218
CZK,2025-05-23,0.041511
AUD,2025-05-23,0.582585
CAD,2025-05-23,0.683020
USD,2025-05-24,0.940138
GBP,2025-05-24,1.152779
JPY,2025-05-24,0.006196
CHF,2025-05-24,1.013867
SEK,2025-05-24,0.090226
NOK,2025-05-24,0.087534
PLN,2025-05-24,0.240711
CZK,2025-05-24,0.041399
AUD,2025-05-24,0.581692
CAD,2025-05-24,0.684034
USD,2025-05-25,0.939852
GBP,2025-05-25,1.154001
JPY,2025-05-25,0.006185
CHF,2025-05-25,1.012753
SEK,2025-05-25,0.090165
NOK,2025-05-25,0.087264
PLN,2025-05-25,0.240524
CZK,2025-05-25,0.041313
AUD,2025-05-25,0.582472
CAD,2025-05-25,0.683564
USD,2025-05-26,0.942137
GBP,2025-05-26,1.155880
JPY,2025-05-26,0.006167
CHF,2025-05-26,1.010046
SEK,2025-05-26,0.090172
NOK,2025-05-26,0.087502
PLN,2025-05-26,0.241287
CZK,2025-05-26,0.041397
AUD,2025-05-26,0.581360
CAD,2025-05-26,0.684211
USD,2025-05-27,0.941903
GBP,2025-05-27,1.152913
JPY,2025-05-27,0.006175
CHF,2025-05-27,1.013471
SEK,2025-05-27,0.090448
NOK,2025-05-27,0.087738
PLN,2025-05-27,0.241134
CZK,2025-05-27,0.041482
AUD,2025-05-27,0.581464
CAD,2025-05-27,0.682010
USD,2025-05-28,0.939279
GBP,2025-05-28,1.155239
JPY,2025-05-28,0.006175
CHF,2025-05-28,1.015130
SEK,2025-05-28,0.090691
NOK,2025-05-28,0.087918
PLN,2025-05-28,0.240553
CZK,2025-05-28,0.041444
AUD,2025-05-28,0.580561
CAD,2025-05-28,0.682612
USD,2025-05-29,0.938188
GBP,2025-05-29,1.151232
JPY,2025-05-29,0.006162
CHF,2025-05-29,1.016352
SEK,2025-05-29,0.090739
NOK,2025-05-29,0.087617
PLN,2025-05-29,0.240502
CZK,2025-05-29,0.041504
AUD,2025-05-29,0.581275
CAD,2025-05-29,0.680564
USD,2025-05-30,0.937898
GBP,2025-05-30,1.149613
JPY,2025-05-30,0.006150
CHF,2025-05-30,1.014458
SEK,2025-05-30,0.090867
NOK,2025-05-30,0.087404
PLN,2025-05-30,0.240520
CZK,2025-05-30,0.041466
AUD,2025-05-30,0.582286
CAD,2025-05-30,0.680093
USD,2025-05-31,0.939288
GBP,2025-05-31,1.145676
JPY,2025-05-31,0.006148
CHF,2025-05-31,1.016515
SEK,2025-05-31,0.090655
NOK,2025-05-31,0.087377
PLN,2025-05-31,0.241097
CZK,2025-05-31,0.041584
AUD,2025-05-31,0.582907
CAD,2025-05-31,0.681028
USD,2025-06-01,0.940177
GBP,2025-06-01,1.142387
JPY,2025-06-01,0.006128
CHF,2025-06-01,1.015525
SEK,2025-06-01,0.090427
NOK,2025-06-01,0.087583
PLN,2025-06-01,0.241658
CZK,2025-06-01,0.041665
AUD,2025-06-01,0.583391
CAD,2025-06-01,0.683078
USD,2025-06-02,0.938422
GBP,2025-06-02,1.143077
JPY,2025-06-02,0.006143
CHF,2025-06-02,1.012701
SEK,2025-06-02,0.090699
NOK,2025-06-02,0.087338
PLN,2025-06-02,0.242354
CZK,2025-06-02,0.041630
AUD,2025-06-02,0.584547
CAD,2025-06-02,0.682066
USD,2025-06-03,0.939742
GBP,2025-06-03,1.146792
JPY,2025-06-03,0.006133
CHF,2025-06-03,1.009958
SEK,2025-06-03,0.090858
NOK,2025-06-03,0.087199
PLN,2025-06-03,0.242059
CZK,2025-06-03,0.041621
AUD,2025-06-03,0.585328
CAD,2025-06-03,0.683769
USD,2025-06-04,0.941033
GBP,2025-06-04,1.145384
JPY,2025-06-04,0.006132
CHF,2025-06-04,1.007080
SEK,2025-06-04,0.091000
NOK,2025-06-04,0.087099
PLN,2025-06-04,0.241729
CZK,2025-06-04,0.041621
AUD,2025-06-04,0.586789
CAD,2025-06-04,0.683620
USD,2025-06-05,0.939729
GBP,2025-06-05,1.145572
JPY,2025-06-05,0.006153
CHF,2025-06-05,1.008609
SEK,2025-06-05,0.090693
NOK,2025-06-05,0.087310
PLN,2025-06-05,0.242051
CZK,2025-06-05,0.041680
AUD,2025-06-05,0.585200
CAD,2025-06-05,0.682315
USD,2025-06-06,0.937765
GBP,2025-06-06,1.145406
JPY,2025-06-06,0.006132
CHF,2025-06-06,1.007200
SEK,2025-06-06,0.090430
NOK,2025-06-06,0.087252
PLN,2025-06-06,0.242025
CZK,2025-06-06,0.041656
AUD,2025-06-06,0.583247
CAD,2025-06-06,0.680719
USD,2025-06-07,0.938542
GBP,2025-06-07,1.145571
JPY,2025-06-07,0.006115
CHF,2025-06-07,1.008715
SEK,2025-06-07,0.090492
NOK,2025-06-07,0.087069
PLN,2025-06-07,0.241472
CZK,2025-06-07,0.041723
AUD,2025-06-07,0.584284
CAD,2025-06-07,0.678408
USD,2025-06-08,0.936832
GBP,2025-06-08,1.147482
JPY,2025-06-08,0.006111
CHF,2025-06-08,1.009952
SEK,2025-06-08,0.090723
NOK,2025-06-08,0.086802
PLN,2025-06-08,0.242173
CZK,2025-06-08,0.041669
AUD,2025-06-08,0.584390
CAD,2025-06-08,0.676953
USD,2025-06-09,0.936955
GBP,2025-06-09,1.150979
JPY,2025-06-09,0.006120
CHF,2025-06-09,1.011195
SEK,2025-06-09,0.090602
NOK,2025-06-09,0.086789
PLN,2025-06-09,0.242726
CZK,2025-06-09,0.041696
AUD,2025-06-09,0.584932
CAD,2025-06-09,0.677749
USD,2025-06-10,0.940001
GBP,2025-06-10,1.149187
JPY,2025-06-10,0.006127
CHF,2025-06-10,1.011962
SEK,2025-06-10,0.090521
NOK,2025-06-10,0.086777
PLN,2025-06-10,0.243536
CZK,2025-06-10,0.041704
AUD,2025-06-10,0.584234
CAD,2025-06-10,0.679062
USD,2025-06-11,0.940208
GBP,2025-06-11,1.146083
JPY,2025-06-11,0.006111
CHF,2025-06-11,1.013023
SEK,2025-06-11,0.090788
NOK,2025-06-11,0.086798
PLN,2025-06-11,0.243346
CZK,2025-06-11,0.041633
AUD,2025-06-11,0.585211
CAD,2025-06-11,0.678341
USD,2025-06-12,0.940155
GBP,2025-06-12,1.145656
JPY,2025-06-12,0.006126
CHF,2025-06-12,1.016385
SEK,2025-06-12,0.090524
NOK,2025-06-12,0.086570
PLN,2025-06-12,0.242844
CZK,2025-06-12,0.041504
AUD,2025-06-12,0.585085
CAD,2025-06-12,0.679079
USD,2025-06-13,0.938601
GBP,2025-06-13,1.147871
JPY,2025-06-13,0.006133
CHF,2025-06-13,1.018726
SEK,2025-06-13,0.090752
NOK,2025-06-13,0.086626
PLN,2025-06-13,0.243675
CZK,2025-06-13,0.041625
AUD,2025-06-13,0.585138
CAD,2025-06-13,0.680400
USD,2025-06-14,0.939418
GBP,2025-06-14,1.145052
JPY,2025-06-14,0.006135
CHF,2025-06-14,1.020616
SEK,2025-06-14,0.090929
NOK,2025-06-14,0.086323
PLN,2025-06-14,0.242936
CZK,2025-06-14,0.041563
AUD,2025-06-14,0.586724
CAD,2025-06-14,0.681937
USD,2025-06-15,0.940000
GBP,2025-06-15,1.149030
JPY,2025-06-15,0.006150
CHF,2025-06-15,1.023322
SEK,2025-06-15,0.091011
NOK,2025-06-15,0.086412
PLN,2025-06-15,0.243611
CZK,2025-06-15,0.041466
AUD,2025-06-15,0.588063
CAD,2025-06-15,0.680635
USD,2025-06-16,0.939920
GBP,2025-06-16,1.145671
JPY,2025-06-16,0.006132
CHF,2025-06-16,1.020653
SEK,2025-06-16,0.090752
NOK,2025-06-16,0.086308
PLN,2025-06-16,0.243420
CZK,2025-06-16,0.041431
AUD,2025-06-16,0.589916
CAD,2025-06-16,0.678283
USD,2025-06-17,0.940040
GBP,2025-06-17,1.148595
JPY,2025-06-17,0.006122
CHF,2025-06-17,1.023724
SEK,2025-06-17,0.090954
NOK,2025-06-17,0.086221
PLN,2025-06-17,0.244161
CZK,2025-06-17,0.041408
AUD,2025-06-17,0.589847
CAD,2025-06-17,0.679673
USD,2025-06-18,0.937333
GBP,2025-06-18,1.148720
JPY,2025-06-18,0.006105
CHF,2025-06-18,1.023839
SEK,2025-06-18,0.091119
NOK,2025-06-18,0.085922
PLN,2025-06-18,0.244761
CZK,2025-06-18,0.041304
AUD,2025-06-18,0.590713
CAD,2025-06-18,0.679861
USD,2025-06-19,0.940380
GBP,2025-06-19,1.147511
JPY,2025-06-19,0.006102
CHF,2025-06-19,1.027036
SEK,2025-06-19,0.091302
NOK,2025-06-19,0.085806
PLN,2025-06-19,0.244270
CZK,2025-06-19,0.041440
AUD,2025-06-19,0.589864
CAD,2025-06-19,0.680627
USD,2025-06-20,0.938780
GBP,2025-06-20,1.150654
JPY,2025-06-20,0.006099
CHF,2025-06-20,1.025670
SEK,2025-06-20,0.091419
NOK,2025-06-20,0.085698
PLN,2025-06-20,0.244088
CZK,2025-06-20,0.041372
AUD,2025-06-20,0.589332
CAD,2025-06-20,0.681068
USD,2025-06-21,0.939748
GBP,2025-06-21,1.149708
JPY,2025-06-21,0.006088
CHF,2025-06-21,1.023762
SEK,2025-06-21,0.091109
NOK,2025-06-21,0.085784
PLN,2025-06-21,0.244616
CZK,2025-06-21,0.041322
AUD,2025-06-21,0.590027
CAD,2025-06-21,0.682862
USD,2025-06-22,0.939228
GBP,2025-06-22,1.150018
JPY,2025-06-22,0.006084
CHF,2025-06-22,1.020933
SEK,2025-06-22,0.091203
NOK,2025-06-22,0.085760
PLN,2025-06-22,0.244155
CZK,2025-06-22,0.041378
AUD,2025-06-22,0.590921
CAD,2025-06-22,0.682938
USD,2025-06-23,0.938701
GBP,2025-06-23,1.153608
JPY,2025-06-23,0.006086
CHF,2025-06-23,1.023827
SEK,2025-06-23,0.091227
NOK,2025-06-23,0.085896
PLN,2025-06-23,0.244092
CZK,2025-06-23,0.041328
AUD,2025-06-23,0.590146
CAD,2025-06-23,0.680794
USD,2025-06-24,0.940558
GBP,2025-06-24,1.154948
JPY,2025-06-24,0.006065
CHF,2025-06-24,1.023869
SEK,2025-06-24,0.091261
NOK,2025-06-24,0.085984
PLN,2025-06-24,0.243708
CZK,2025-06-24,0.041215
AUD,2025-06-24,0.592025
CAD,2025-06-24,0.681321
USD,2025-06-25,0.937533
GBP,2025-06-25,1.156201
JPY,2025-06-25,0.006054
CHF,2025-06-25,1.025892
SEK,2025-06-25,0.091408
NOK,2025-06-25,0.085737
PLN,2025-06-25,0.244507
CZK,2025-06-25,0.041095
AUD,2025-06-25,0.593025
CAD,2025-06-25,0.680266
USD,2025-06-26,0.936940
GBP,2025-06-26,1.158199
JPY,2025-06-26,0.006033
CHF,2025-06-26,1.028187
SEK,2025-06-26,0.091162
NOK,2025-06-26,0.085916
PLN,2025-06-26,0.244025
CZK,2025-06-26,0.041004
AUD,2025-06-26,0.591918
CAD,2025-06-26,0.681427
USD,2025-06-27,0.935982
GBP,2025-06-27,1.158516
JPY,2025-06-27,0.006036
CHF,2025-06-27,1.028091
SEK,2025-06-27,0.091230
NOK,2025-06-27,0.085855
PLN,2025-06-27,0.244104
CZK,2025-06-27,0.040923
AUD,2025-06-27,0.590261
CAD,2025-06-27,0.681098
USD,2025-06-28,0.934724
GBP,2025-06-28,1.158116
JPY,2025-06-28,0.006016
CHF,2025-06-28,1.026674
SEK,2025-06-28,0.091477
NOK,2025-06-28,0.085954
PLN,2025-06-28,0.244555
CZK,2025-06-28,0.040922
AUD,2025-06-28,0.589773
CAD,2025-06-28,0.683255
USD,2025-06-29,0.932379
GBP,2025-06-29,1.157386
JPY,2025-06-29,0.006006
CHF,2025-06-29,1.025248
SEK,2025-06-29,0.091378
NOK,2025-06-29,0.085814
PLN,2025-06-29,0.244747
CZK,2025-06-29,0.040866
AUD,2025-06-29,0.591158
CAD,2025-06-29,0.684687
USD,2025-06-30,0.934344
GBP,2025-06-30,1.155016
JPY,2025-06-30,0.006008
CHF,2025-06-30,1.028712
SEK,2025-06-30,0.091594
NOK,2025-06-30,0.085603
PLN,2025-06-30,0.244366
CZK,2025-06-30,0.040866
